Chemical,Type,State,Available,RName,CName,DName,Density1,Density2,Density3,Mm,Sol,Mp,Bp,KH,color1,alpha1,color2,alpha2,color3,alpha3,color4,alpha4,friction,restitution,JPN,CHN,TW,KR,Solk,MOH,KOH,MH,KH,PTN
BaCl2,Solid,0,1,Barium chloride,BaCl2,BaCl2,3.86,1,0.001,208.23,35.8,962,1560,2000,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,塩化バリウム,氯化钡,氯化鋇,염화 바륨,0,0,0,0,0,1
BaCO3,Solid,0,1,Barium carbonate,BaCO3,BaCO3,4.29,1,0.001,197.34,0,811,1360,2000,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,炭酸バリウム,碳酸钡,碳酸鋇,탄산 바륨,0,0,0,0,0,1
BaNO32,Solid,0,1,Barium nitrate,BaNO32,Ba(NO3)2,3.24,1,0.001,261.3,10.5,590,999999,2000,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,硝酸バリウム,硝酸钡,硝酸鋇,질산 바륨,0,0,0,0,0,1
BaO,Solid,0,1,Barium oxide,BaO,BaO,5.72,1,0.001,153.3,3.48,1923,2000,2000,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,酸化バリウム,氧化钡,氧化鋇,산화 바륨,0,0,0,0,0,2
BaOH2,Solid,0,1,Barium hydroxide,BaOH2,Ba(OH)2,5.72,1,0.001,171.3,3.89,408,780,2000,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,水酸化バリウム,氢氧化钡,氫氧化鋇,수산화 바륨,0,2,0,0,0,1
BaSO4,Solid,0,1,Barium sulfate,BaSO4,BaSO4,4.5,1,0.001,233.43,0,1345,1600,2000,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,硫酸バリウム,硫酸钡,硫酸鋇,황산 바륨,0,0,0,0,0,1
Br2,Liquid,0,1,Bromine,Br2,Br2,2,3.1,0.001,159.8,3.38,-7.2,58.8,947.3,0xFFFFFF,1,0x90230C,0.7,0x90230C,0.3,0x90230C,0.7,0.5,0.15,臭素,溴,溴,브롬,0,0,0,0,0,1
C,Solid,0,1,Carbon,C,C,2.267,1,0.001,12.01,0,3550,4827,512,0x212115,1,0x212115,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,炭素,碳,碳,탄소,0,0,0,0,0,5
Ca,Solid,0,1,Calcium,Ca,Ca,1.55,1,0.001,40.08,0,839,1484,4120,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,カルシウム,钙,鈣,칼슘,0,0,0,0,0,2
CaC2,Solid,0,1,Calcium carbide,CaC2,CaC2,2.22,2,0.001,64.1,0,2160,2300,700,0xF9ECC9,1,0xF9ECC9,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,炭化カルシウム,碳化钙,碳化鈣,탄화 칼슘,0,0,0,0,0,1
CaCl2,Solid,0,1,Calcium chloride,CaCl2,CaCl2,2.15,1,0.001,111,74.5,772,1935,819.94,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,塩化カルシウム,氯化钙,氯化鈣,염화 칼슘,0,0,0,0,0,1
CaCO3,Solid,0,1,Calcium carbonate,CaCO3,CaCO3,2.83,1,0.001,100.1,0.000015,825,99999,819.94,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,炭酸カルシウム,碳酸钙,碳酸鈣,탄산 칼슘,0,0,0,0,0,1
CaNO32,Solid,0,1,Calcium nitrate,CaNO32,Ca(NO3)2,2.504,1.896,0.001,164.1,121.2,561,99999,440.49,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,硝酸カルシウム,硝酸钙,硝酸鈣,질산 칼슘,0,0,0,0,0,1
CaO,Solid,0,1,Calcium oxide,CaO,CaO,3.35,1,0.001,56.08,0,2572,2850,892.036,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,酸化カルシウム,氧化钙,氧化鈣,산화 칼슘,0,0,0,0,0,1
CaOH2,Solid,0,1,Calcium hydroxide,CaOH2,Ca(OH)2,2.211,1,0.001,74.09,0.18,580,99999,87.5,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,水酸化カルシウム,氢氧化钙,氫氧化鈣,수산화칼슘,0,2,0,0,0,1
CaSO3,Solid,0,1,Calcium sulfite,CaSO3,CaSO3,1.595,1,0.001,120.17,0,600,999999,1200,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,亜硫酸カルシウム,亚硫酸钙,亞硫酸鈣,아황산 칼슘,0,0,0,0,0,1
CaSO4,Solid,0,1,Calcium sulfate,CaSO4,CaSO4,2.96,1,0.001,136.1,0.21,1460,99999,440.49,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,硫酸カルシウム,硫酸钙,硫酸鈣,황산 칼슘,0,0,0,0,0,1
Cl2,Gas,0,1,Chlorine,Cl2,Cl2,2,1,0.0016,70.91,2,-101.5,-34,957,0xFFFFFF,1,0xFFFFFF,0.9,0xBEC767,0.5,0xFFFFFF,0,0.5,0.15,塩素,氯,氯,염소,0,0,0,0,0,1
Co,Solid,0,1,Cobalt,Co,Co,1.9,1,1,80,0,300,140,1000,0xECEDEF,1,0xECEDEF,0.9,0,0,0xECEDEF,1,0.5,0.15,コバルト,钴,鈷,코발트,0,0,0,0,0,2
CO,Gas,0,1,Carbon monoxide,CO,CO,2,1,0.001429,28.01,3.1,-218.79,-182.95,1836.125,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,一酸化炭素,一氧化碳,一氧化碳,일산화탄소,0,0,0,0,0,1
CO2,Gas,0,1,Carbon dioxide,CO2,CO2,1.562,0.77,0.001977,44.01,0.145,-78,-57,49.954,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,二酸化炭素,二氧化碳,二氧化碳,이산화탄소,0,0,0,0,0,1
Cr,Solid,0,1,Chrome,Cr,Cr,1.9,1,1,80,0,300,140,1000,0xECEDEF,1,0xECEDEF,0.9,0,0,0xECEDEF,1,0.5,0.15,クロム,铬,鉻,크로뮴,0,0,0,0,0,2
Cs,Solid,0,1,Caesium,Cs,Cs,1.93,1,0.001,132.9,0,28.5,671,242.36,0xF1F1E4,1,0xF1F1E4,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,セシウム,铯,銫,세슘,0,0,0,0,0,2
CsBr,Solid,0,0,Caesium bromide,CsBr,CsBr,4.44,1,0.001,212.81,124.3,636,1300,900,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,臭化セシウム,溴化铯,溴化銫,브롬화 세슘,0,0,0,0,0,1
CsCl,Solid,0,0,Caesium chloride,CsCl,CsCl,3.99,1,0.001,168.36,162,645,1295,33,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,塩化セシウム,氯化铯,氯化銫,염화 세슘,45,0,0,0,0,1
CsF,Solid,0,0,Caesium fluoride,CsF,CsF,4.115,1,0.001,151.9,367,682,1251,33,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,フッ化セシウム,氟化铯,氟化銫,플루오르화 세슘,45,0,0,0,0,1
CsOH,Solid,0,0,Caesium hydroxide,CsOH,CsOH,3.675,1,0.001,149.9,300,342.3,99999,466.27,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,水酸化セシウム,氢氧化铯,氫氧化銫,수산화 세슘,0,1,0,0,0,1
Cu,Solid,0,1,Copper,Cu,Cu,8.94,8.02,0.001,63.55,0,1084.62,2562,400.25,0x9A4A34,1,0xBA5C40,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,銅,铜,銅,구리,0,0,0,0,0,2
Cu2O,Solid,0,1,Copper(I) oxide,Cu2O,Cu2O,6.00,8.02,0.001,143.09,0,1232.00,1800,400.25,0x993333,1,0xBA5C40,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,銅,铜,銅,구리,0,0,0,0,0,2
Cu2S,Solid,0,1,Copper(I) sulfide,Cu2S,Cu2S,5.6,1,0.001,159.16,0,1100,99999,123,0x4B4B4B,1,0x4B4B4B,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,硫化銅（I）,硫化亚铜,硫化亞銅,황화 구리,22,0,0,0,0,1
CuCl2,Solid,0,1,Copper chloride,CuCl2,CuCl2,3.386,2.51,0.001,134.5,75.7,498,993,800.25,0x50B6CA,1,0x50B6CA,0.9,0xFFFFFF,0,0x82D348,0.3,0.5,0.15,塩化銅,氯化铜,氯化銅,염화 구리,0,0,4.5000000000E-09,0,0,1
CuCO3,Solid,0,1,Copper carbonate,CuCO3,CuCO3,3.9,1,0.001,123.55,0,200,300,900,0x70B0A8,1,0x70B0A8,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,炭酸銅,碳酸铜,碳酸銅,탄산 구리 ,0,0,0,0,0,1
CuNO32,Solid,0,1,Copper nitrate,CuNO32,Cu(NO3)2,2.32,1.32,0.001,187.56,137.8,256,170,440.49,0x0370C5,1,0x0370C5,0.9,0xFFFFFF,0,0x529F69,0.7,0.5,0.15,硝酸銅,硝酸铜,硝酸銅,질산 구리,0,0,4.5000000000E-09,0,0,1
CuO,Solid,0,1,Copper oxide,CuO,CuO,6.315,1,0.001,79.55,0,1326,2000,940,0x2C2D31,1,0x2C2D31,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,酸化銅 ,氧化铜,氧化銅,산화 구리,0,0,0,0,0,2
CuOH2,Solid,0,1,Copper hydroxide,CuOH2,Cu(OH)2,3.368,1,0.001,97.56,0,81,99999,1107,0x20656C,1,0x20656C,0.9,0xFFFFFF,0,0x20656C,0.8,0.5,0.15,水酸化銅,氢氧化铜,氫氧化銅,수산화 구리,0,0,0,0,0,1
CuSO4,Solid,0,1,Copper sulfate,CuSO4,CuSO4,3.603,1,0.001,159.6,30,650,99999,683,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0x285FFF,0.7,0.5,0.15,硫酸銅,硫酸铜,硫酸銅,황산 구리,0,0,4.5000000000E-09,0,0,1
F2,Gas,0,1,Fluorine,F2,F2,2,1,0.001696,38,0,-219.52,-188.05,1739.1,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xA3833F,0.2,0.5,0.15,フッ素,氟,氟,플루오린,0,0,0,0,0,1
Fe,Solid,0,1,Iron,Fe,Fe,7.874,1,0.001,55.85,0,1538,2862,440.49,0x4A4745,1,0x918C88,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,鉄,铁,鐵,철,0,0,0,0,0,2
Fe2O3,Solid,0,1,Iron(III) oxide,Fe2O3,Fe2O3,5.242,1,0.001,159.7,0,1566,2862,440.49,0x370107,1,0x370107,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,酸化鉄（III）,氧化铁,氧化鐵,산화 철,0,0,0,0,0,2
Fe2SO43,Solid,0,1,Iron(III) sulfate,Fe2SO43,Fe2(SO4)3,3.097,1.097,0.0698,399.9,100,480,9990,440.49,0xFFCC00,1,0xFFCC00,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,硫酸鉄（III）,硫酸铁,硫酸鐵,황산 철III,0,0,0,0,7.2000E-03,2
Fe3O4,Solid,0,1,Iron(II III) oxide,Fe3O4,Fe3O4,5.17,1,0.001,231.53,0,1597,99999,440.49,0x38373F,1,0x38373F,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,四酸化三鉄,四氧化三铁,四氧化三鐵,산화 철,0,0,0,0,0,2
FeCl2,Solid,0,1,Iron(II) chloride,FeCl2,FeCl2,3.16,1.097,0.0698,126.8,62.5,677,1023,440.49,0x86A863,1,0x86A863,0.9,0xFFFFFF,0,0x86A863,0.4,0.5,0.15,塩化鉄（II）,氯化亚铁,氯化亞鐵,염화 철II,0,0,0,0,2.1000000000000E-12,1
FeCl3,Solid,0,1,Iron(III) chloride,FeCl3,FeCl3,2.898,1.82,0.0698,162.2,74.4,306,315,440.49,0xEBE83B,1,0xEBE83B,0.9,0xFFFFFF,0,0xEBE83B,0.4,0.5,0.15,塩化鉄（III）,氯化铁,氯化鐵,염화 철III,0,0,0,0,3.60000E-04,1
FeNO32,Solid,0,1,Iron(II) nitrate,FeNO32,Fe(NO3)2,1.68,1,0.001,241.86,150,60.5,99999,440.49,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0x82AB72,0.5,0.5,0.15,硝酸鉄（II）,硝酸亚铁,硝酸亞鐵,질산 철II,0,0,0,0,0,1
FeNO33,Solid,0,1,Iron(III) nitrate,FeNO33,Fe(NO3)3,1.68,1,0.001,241.86,150,47.2,125,440.49,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0x82AB72,0.5,0.5,0.15,硝酸鉄（III）,硝酸铁,硝酸鐵,질산 철III,0,0,0,0,3.60000E-04,1
FeO,Solid,0,1,Iron(II) oxide,FeO,FeO,5.745,1,0.001,71.84,0,1377,3414,440.49,0x000000,1,0x000000,0.9,0xFFFFFF,0,0xCE643B,0.4,0.5,0.15,酸化鉄（II）,氧化亚铁,氧化亞鐵,산화 철 ,0,0,0,0,0,2
FeOH2,Solid,0,1,Iron(II) hydroxide,FeOH2,Fe(OH)2,3.4,1.698,0.0698,89.86,0,99998,99999,440.49,0x4B3520,1,0x4B3520,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,水酸化鉄（II）,氢氧化亚铁,氫氧化亞鐵,수산화 철II,0,2,0,0,0,1
FeOH3,Solid,0,1,Iron(III) hydroxide,FeOH3,Fe(OH)3,4.25,1.698,0.0698,88.85,0,99998,99999,440.49,0x762716,1,0x762716,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,水酸化鉄（III）,氢氧化铁,氫氧化鐵,수산화 철III,0,0,0,0,0,1
FeSO4,Solid,0,1,Iron(II) sulfate,FeSO4,FeSO4,1.898,1.698,0.0698,151.9,100,64,90,440.49,0x90D6C0,1,0x90D6C0,0.9,0xFFFFFF,0,0x90D6C0,0.3,0.5,0.15,硫酸鉄（II）,硫酸亚铁,硫酸亞鐵,황산 철II,0,0,0,0,2.1000000000000E-12,1
H2,Gas,0,1,Hydrogen,H2,H2,2,1,0.00008988,2.02,0,-259.14,-252.9,14418,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,水素,氢,氫,수소,0,0,0,0,0,1
H2O2,Liquid,0,1,Hydrogen peroxide,H2O2,H2O2,1.71,1.463,0.001,34.01,99999,-0.43,150.2,1000,0xFFFFFF,0.1,0xFFFFFF,0.12,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,過酸化水素,过氧化氢,過氧化氫,과산화수소,0,0,0,0,0,1
H2S,Gas,0,1,Hydrogen sulfide,H2S,H2S,2,1.917,0.001363,34.08,4,-82,-60,4120,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,硫化水素,硫化氢,硫化氫,황화수소,0,0,0,0,1.30000000E-07,1
SO3,Solution,4,1,Sulfur trioxide,SO3,SO3,2,1.92,0.0012,80.07,0,16.9,45,607.1,0xFFFFFF,1,0xFFFFFF,0.12,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,三酸化硫黄,三氧化硫,三氧化硫,삼산화황,0,0,0,0,0,1
HNO3,Solution,4,1,Nitric acid,HNO3,HNO3,2.165,1.097,0.0698,63.01,99999,-42,83,146,0xFFFFFF,1,0xFFFFFF,0.12,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,硝酸,硝酸,硝酸,질산,0,0,0,1,0,1
H2SO3,Solution,4,1,Sulfurous acid,H2SO3,H2SO3,2,1.84,0.001,82.07,99999,10,337,1420,0xFFFFFF,1,0xFFFFFF,0.12,0xFFFFFF,0,0xFFFFFF,0.06,0.5,0.15,亜硫酸,亚硫酸,亞硫酸,아황산,10,0,0,0,1.4100E-02,1
H2SO4,Solution,4,1,Sulfuric acid,H2SO4,H2SO4,2,1.84,0.001,98.08,99999,10,337,1420,0xFFFFFF,1,0xFFFFFF,0.12,0xFFFFFF,0,0xFFFFFF,0.06,0.5,0.15,硫酸,硫酸,硫酸,황산,3000,0,0,2,0,1
H3PO4,Solid,0,1,Phosphoric acid,H3PO4,H3PO4,2.03,1.885,0.001,98,5.48,42.35,158,440.49,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,リン酸,磷酸,磷酸,인산,0,0,0,0,6.9000E-03,1
HCl,Solution,4,1,Hydrogen chloride,HCl,HCl,2,1,0.00149,36.46,720,-112,85,600,0xFFFFFF,1,0xFFFFFF,0.12,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,塩化水素,盐酸,鹽酸,염화수소,0,0,0,1,0,1
He,Gas,0,1,Helium,He,He,2,1,0.0001785,4.003,0,-272,-268,519.5,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,ヘリウム,氦,氦,헬륨,0,0,0,0,0,1
HF,Solution,4,1,Hydrogen fluoride,HF,HF,2,0.99,0.0015,20.01,99999,-83.6,1091,1023.41,0xFFFFFF,1,0xFFFFFF,0.12,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,フッ化水素,氟化氢,氟化氫,플루오르화 수소,0,0,0,0,3.50000E-04,1
HBr,Gas,0,1,Hydrogen bromide,HBr,HBr,2,0.99,0.0036,80.91,193,-86.9,-66.8,1023.41,0xFFFFFF,1,0xFFFFFF,0.12,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,フッ化水素,氟化氢,氟化氫,플루오르화 수소,0,0,0,0,3.50000E-04,1
Hg,Liquid,0,1,Mercury,Hg,Hg,2,13.534,0.001,200.6,0,-38.83,356.73,139.5,0xFFFFFF,1,0xF0F0F0,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,マーキュリー,水银,水銀,수은,0,0,0,0,0,1
HgNO32,Solid,0,1,Mercury nitrate,HgNO32,Hg(NO3)2,4.3,2.32,0.001,324.6,100,79,99999,440.49,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,硝酸水銀,硝酸汞,硝酸汞,질산 수은,0,0,3.1000E-03,0,0,1
HgO,Solid,0,1,Mercury oxide,HgO,HgO,11.4,1,0.001,216.6,0,99999,99999,139.5,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,酸化水銀,氧化汞,氧化汞,산화 수은,0,0,0,0,0,2
I2,Solid,0,1,Iodine,I2,I2,4.933,4.033,0.013,253.8,0,113.7,184.3,429,0x343A30,1,0x343A30,0.9,0x9D4075,0,0xFFFFFF,0,0.5,0.15,ヨウ素,碘,碘,요오드,0,0,0,0,0,1
